ลำดับ,เดือน,สินค้า,ยอดขาย(บาท),จำนวน(ชิ้น),ภูมิภาค
1,ม.ค.,โน้ตบุ๊ก,45000,12,กรุงเทพ
2,ม.ค.,มือถือ,32000,28,กรุงเทพ
3,ม.ค.,หูฟัง,2500,150,เชียงใหม่
4,ก.พ.,โน้ตบุ๊ก,48000,15,กรุงเทพ
5,ก.พ.,มือถือ,30000,30,เชียงใหม่
6,ก.พ.,หูฟัง,2400,160,กรุงเทพ
7,มี.ค.,โน้ตบุ๊ก,42000,10,เชียงใหม่
8,มี.ค.,มือถือ,35000,35,กรุงเทพ
9,มี.ค.,หูฟัง,2600,140,กรุงเทพ
10,เม.ย.,โน้ตบุ๊ก,50000,18,กรุงเทพ
11,เม.ย.,มือถือ,33000,32,เชียงใหม่
12,เม.ย.,หูฟัง,2550,165,กรุงเทพ
13,พ.ค.,โน้ตบุ๊ก,46000,14,กรุงเทพ
14,พ.ค.,มือถือ,31000,29,เชียงใหม่
15,พ.ค.,หูฟัง,2450,155,กรุงเทพ
16,มิ.ย.,โน้ตบุ๊ก,52000,20,เชียงใหม่
17,มิ.ย.,มือถือ,36000,38,กรุงเทพ
18,มิ.ย.,หูฟัง,2700,170,กรุงเทพ
